"ParkName","UnitCode","ParkType","Region","State","Year","Month","RecreationVisits","NonRecreationVisits","RecreationHours","NonRecreationHours","ConcessionerLodging","ConcessionerCamping","TentCampers","RVCampers","Backcountry","NonRecreationOvernightStays","MiscellaneousOvernightStays","ParkNameTotal","UnitCodeTotal","ParkTypeTotal","RegionTotal","StateTotal","YearTotal","RecreationVisitsTotal","NonRecreationVisitsTotal","RecreationHoursTotal","NonRecreationHoursTotal","ConcessionerLodgingTotal","ConcessionerCampingTotal","TentCampersTotal","RVCampersTotal","BackcountryTotal","NonRecreationOvernightStaysTotal","MiscellaneousOvernightStaysTotal"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,1,"18,887","476","94,216","476","0","0","0","0","298","616","396","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,2,"20,325","396","104,978","396","0","0","0","0","226","450","346","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,3,"32,263","1,125","259,306","1,125","0","0","0","0","1,309","1,098","1,714","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,4,"33,888","1,070","322,936","1,070","0","0","0","0","1,775","594","1,328","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,5,"37,528","2,495","443,485","2,495","0","0","0","0","2,747","2,830","2,732","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,6,"44,852","1,196","568,134","1,196","0","0","0","0","3,051","1,220","3,375","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,7,"56,194","1,082","677,662","1,082","0","0","0","0","3,729","1,256","3,285","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,8,"40,750","734","492,759","734","0","0","0","0","3,107","1,156","5,049","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,9,"33,063","834","391,828","834","0","0","0","0","3,189","608","4,964","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,10,"25,495","1,046","262,857","1,046","0","0","0","0","2,084","1,521","2,934","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,11,"23,696","701","200,131","701","0","0","0","0","1,019","914","1,336","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,12,"16,746","294","114,579","294","0","0","0","0","400","662","558","Channel Islands NP","CHIS","National Park","Pacific West ","CA",2017,"383,687","11,449","3,932,871","274,776","0","0","0","0","22,934","12,925","28,017"
"Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,1,"66,867","2,647","629,871","2,647","1,696","876","9,450","10,243","0","0","406","Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,"1,294,827","49,300","9,611,792","73,949","40,400","10,106","80,544","96,071","0","0","2,246"
"Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,2,"78,586","3,077","791,438","3,077","2,093","1,103","10,538","16,896","0","0","548","Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,"1,294,827","49,300","9,611,792","73,949","40,400","10,106","80,544","96,071","0","0","2,246"
"Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,3,"108,119","4,224","1,092,626","4,224","2,761","1,651","16,739","21,392","0","0","895","Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,"1,294,827","49,300","9,611,792","73,949","40,400","10,106","80,544","96,071","0","0","2,246"
"Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,4,"107,559","4,020","886,145","4,020","5,353","1,462","10,627","9,549","0","0","286","Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,"1,294,827","49,300","9,611,792","73,949","40,400","10,106","80,544","96,071","0","0","2,246"
"Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,5,"105,660","3,625","654,201","3,625","2,704","833","3,814","2,387","0","0","12","Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,"1,294,827","49,300","9,611,792","73,949","40,400","10,106","80,544","96,071","0","0","2,246"
"Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,6,"85,150","3,181","501,682","3,181","2,897","446","774","266","0","0","0","Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,"1,294,827","49,300","9,611,792","73,949","40,400","10,106","80,544","96,071","0","0","2,246"
"Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,7,"135,277","5,222","804,340","5,222","5,746","203","237","224","0","0","0","Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,"1,294,827","49,300","9,611,792","73,949","40,400","10,106","80,544","96,071","0","0","2,246"
"Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,8,"172,052","6,647","1,009,828","6,647","5,700","206","650","352","0","0","0","Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,"1,294,827","49,300","9,611,792","73,949","40,400","10,106","80,544","96,071","0","0","2,246"
"Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,9,"138,167","5,085","821,187","5,085","3,755","752","2,006","1,565","0","0","0","Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,"1,294,827","49,300","9,611,792","73,949","40,400","10,106","80,544","96,071","0","0","2,246"
"Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,10,"111,268","4,122","745,567","4,122","3,189","987","4,685","4,733","0","0","8","Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,"1,294,827","49,300","9,611,792","73,949","40,400","10,106","80,544","96,071","0","0","2,246"
"Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,11,"91,802","3,665","876,929","3,665","2,326","785","11,661","17,024","0","0","21","Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,"1,294,827","49,300","9,611,792","73,949","40,400","10,106","80,544","96,071","0","0","2,246"
"Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,12,"94,320","3,785","797,978","3,785","2,180","802","9,363","11,440","0","0","70","Death Valley NP","DEVA","National Park","Pacific West ","CA",2017,"1,294,827","49,300","9,611,792","73,949","40,400","10,106","80,544","96,071","0","0","2,246"
"Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,1,"240,124","910","1,615,166","910","0","0","23,852","8,028","1,511","0","4,981","Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,"2,853,619","10,688","18,362,028","10,688","0","0","250,384","78,135","19,590","0","72,201"
"Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,2,"260,139","963","1,761,498","963","0","0","23,352","10,218","2,122","0","7,388","Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,"2,853,619","10,688","18,362,028","10,688","0","0","250,384","78,135","19,590","0","72,201"
"Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,3,"404,545","1,507","2,620,491","1,507","0","0","38,484","12,024","4,163","0","6,121","Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,"2,853,619","10,688","18,362,028","10,688","0","0","250,384","78,135","19,590","0","72,201"
"Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,4,"361,992","1,374","2,432,359","1,374","0","0","37,100","11,055","4,015","0","5,439","Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,"2,853,619","10,688","18,362,028","10,688","0","0","250,384","78,135","19,590","0","72,201"
"Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,5,"221,752","845","1,547,991","845","0","0","22,788","6,726","1,239","0","7,209","Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,"2,853,619","10,688","18,362,028","10,688","0","0","250,384","78,135","19,590","0","72,201"
"Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,6,"125,896","470","682,358","470","0","0","7,864","1,518","274","0","2,733","Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,"2,853,619","10,688","18,362,028","10,688","0","0","250,384","78,135","19,590","0","72,201"
"Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,7,"124,571","464","587,943","464","0","0","4,760","1,206","102","0","1,922","Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,"2,853,619","10,688","18,362,028","10,688","0","0","250,384","78,135","19,590","0","72,201"
"Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,8,"142,340","536","698,139","536","0","0","6,172","1,260","306","0","2,466","Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,"2,853,619","10,688","18,362,028","10,688","0","0","250,384","78,135","19,590","0","72,201"
"Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,9,"157,084","571","931,160","571","0","0","10,644","2,664","465","0","6,211","Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,"2,853,619","10,688","18,362,028","10,688","0","0","250,384","78,135","19,590","0","72,201"
"Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,10,"223,008","833","1,673,109","833","0","0","25,876","6,855","1,509","0","10,331","Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,"2,853,619","10,688","18,362,028","10,688","0","0","250,384","78,135","19,590","0","72,201"
"Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,11,"307,770","1,120","1,946,137","1,120","0","0","25,528","8,040","1,942","0","9,479","Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,"2,853,619","10,688","18,362,028","10,688","0","0","250,384","78,135","19,590","0","72,201"
"Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,12,"284,398","1,095","1,865,677","1,095","0","0","23,964","8,541","1,942","0","7,921","Joshua Tree NP","JOTR","National Park","Pacific West ","CA",2017,"2,853,619","10,688","18,362,028","10,688","0","0","250,384","78,135","19,590","0","72,201"
"Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,1,"9,231","0","60,594","0","0","0","57","93","98","0","0","Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,"507,256","0","5,467,248","0","5,575","0","56,772","29,730","6,724","0","16,614"
"Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,2,"7,203","0","48,447","0","0","0","138","15","96","0","0","Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,"507,256","0","5,467,248","0","5,575","0","56,772","29,730","6,724","0","16,614"
"Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,3,"7,002","0","46,968","0","0","0","84","60","92","0","0","Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,"507,256","0","5,467,248","0","5,575","0","56,772","29,730","6,724","0","16,614"
"Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,4,"10,518","0","70,437","0","0","0","66","117","166","0","0","Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,"507,256","0","5,467,248","0","5,575","0","56,772","29,730","6,724","0","16,614"
"Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,5,"31,173","0","235,044","0","0","0","1,176","624","171","0","315","Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,"507,256","0","5,467,248","0","5,575","0","56,772","29,730","6,724","0","16,614"
"Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,6,"58,880","0","697,362","0","1,017","0","7,284","5,076","356","0","2,652","Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,"507,256","0","5,467,248","0","5,575","0","56,772","29,730","6,724","0","16,614"
"Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,7,"122,834","0","1,392,978","0","1,556","0","15,291","6,714","1,468","0","6,208","Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,"507,256","0","5,467,248","0","5,575","0","56,772","29,730","6,724","0","16,614"
"Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,8,"111,514","0","1,448,604","0","1,535","0","19,191","8,556","2,220","0","5,618","Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,"507,256","0","5,467,248","0","5,575","0","56,772","29,730","6,724","0","16,614"
"Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,9,"88,592","0","988,977","0","1,154","0","11,058","6,204","1,899","0","1,467","Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,"507,256","0","5,467,248","0","5,575","0","56,772","29,730","6,724","0","16,614"
"Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,10,"40,581","0","354,723","0","313","0","2,361","2,199","70","0","354","Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,"507,256","0","5,467,248","0","5,575","0","56,772","29,730","6,724","0","16,614"
"Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,11,"10,335","0","64,740","0","0","0","33","54","43","0","0","Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,"507,256","0","5,467,248","0","5,575","0","56,772","29,730","6,724","0","16,614"
"Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,12,"9,393","0","58,374","0","0","0","33","18","45","0","0","Lassen Volcanic NP","LAVO","National Park","Pacific West ","CA",2017,"507,256","0","5,467,248","0","5,575","0","56,772","29,730","6,724","0","16,614"
"Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,1,"12,696","0","45,802","0","0","0","0","0","0","0","0","Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,"233,334","0","836,253","0","0","0","0","0","0","0","0"
"Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,2,"13,476","0","48,255","0","0","0","0","0","0","0","0","Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,"233,334","0","836,253","0","0","0","0","0","0","0","0"
"Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,3,"28,618","0","102,523","0","0","0","0","0","0","0","0","Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,"233,334","0","836,253","0","0","0","0","0","0","0","0"
"Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,4,"34,773","0","124,748","0","0","0","0","0","0","0","0","Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,"233,334","0","836,253","0","0","0","0","0","0","0","0"
"Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,5,"24,776","0","88,862","0","0","0","0","0","0","0","0","Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,"233,334","0","836,253","0","0","0","0","0","0","0","0"
"Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,6,"20,556","0","73,436","0","0","0","0","0","0","0","0","Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,"233,334","0","836,253","0","0","0","0","0","0","0","0"
"Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,7,"20,705","0","74,173","0","0","0","0","0","0","0","0","Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,"233,334","0","836,253","0","0","0","0","0","0","0","0"
"Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,8,"15,826","0","56,716","0","0","0","0","0","0","0","0","Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,"233,334","0","836,253","0","0","0","0","0","0","0","0"
"Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,9,"12,781","0","45,813","0","0","0","0","0","0","0","0","Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,"233,334","0","836,253","0","0","0","0","0","0","0","0"
"Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,10,"15,829","0","56,657","0","0","0","0","0","0","0","0","Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,"233,334","0","836,253","0","0","0","0","0","0","0","0"
"Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,11,"15,473","0","55,641","0","0","0","0","0","0","0","0","Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,"233,334","0","836,253","0","0","0","0","0","0","0","0"
"Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,12,"17,825","0","63,627","0","0","0","0","0","0","0","0","Pinnacles NP","PINN","National Park","Pacific West ","CA",2017,"233,334","0","836,253","0","0","0","0","0","0","0","0"
"Redwood NP","REDW","National Park","Pacific West ","CA",2017,1,"24,830","0","78,228","0","0","0","58","0","56","0","0","Redwood NP","REDW","National Park","Pacific West ","CA",2017,"445,000","0","1,731,930","0","0","0","3,363","0","4,769","0","2,230"
"Redwood NP","REDW","National Park","Pacific West ","CA",2017,2,"16,308","0","52,913","0","0","0","30","0","8","0","0","Redwood NP","REDW","National Park","Pacific West ","CA",2017,"445,000","0","1,731,930","0","0","0","3,363","0","4,769","0","2,230"
"Redwood NP","REDW","National Park","Pacific West ","CA",2017,3,"19,301","0","73,821","0","0","0","277","0","122","0","0","Redwood NP","REDW","National Park","Pacific West ","CA",2017,"445,000","0","1,731,930","0","0","0","3,363","0","4,769","0","2,230"
"Redwood NP","REDW","National Park","Pacific West ","CA",2017,4,"32,127","0","119,699","0","0","0","213","0","106","0","0","Redwood NP","REDW","National Park","Pacific West ","CA",2017,"445,000","0","1,731,930","0","0","0","3,363","0","4,769","0","2,230"
"Redwood NP","REDW","National Park","Pacific West ","CA",2017,5,"49,170","0","189,550","0","0","0","322","0","465","0","0","Redwood NP","REDW","National Park","Pacific West ","CA",2017,"445,000","0","1,731,930","0","0","0","3,363","0","4,769","0","2,230"
"Redwood NP","REDW","National Park","Pacific West ","CA",2017,6,"59,862","0","242,791","0","0","0","559","0","906","0","0","Redwood NP","REDW","National Park","Pacific West ","CA",2017,"445,000","0","1,731,930","0","0","0","3,363","0","4,769","0","2,230"
"Redwood NP","REDW","National Park","Pacific West ","CA",2017,7,"68,427","0","292,904","0","0","0","605","0","1,284","0","611","Redwood NP","REDW","National Park","Pacific West ","CA",2017,"445,000","0","1,731,930","0","0","0","3,363","0","4,769","0","2,230"
"Redwood NP","REDW","National Park","Pacific West ","CA",2017,8,"51,747","0","225,147","0","0","0","624","0","1,045","0","304","Redwood NP","REDW","National Park","Pacific West ","CA",2017,"445,000","0","1,731,930","0","0","0","3,363","0","4,769","0","2,230"
"Redwood NP","REDW","National Park","Pacific West ","CA",2017,9,"43,677","0","175,027","0","0","0","214","0","382","0","471","Redwood NP","REDW","National Park","Pacific West ","CA",2017,"445,000","0","1,731,930","0","0","0","3,363","0","4,769","0","2,230"
"Redwood NP","REDW","National Park","Pacific West ","CA",2017,10,"31,446","0","139,081","0","0","0","285","0","255","0","844","Redwood NP","REDW","National Park","Pacific West ","CA",2017,"445,000","0","1,731,930","0","0","0","3,363","0","4,769","0","2,230"
"Redwood NP","REDW","National Park","Pacific West ","CA",2017,11,"21,096","0","61,097","0","0","0","79","0","65","0","0","Redwood NP","REDW","National Park","Pacific West ","CA",2017,"445,000","0","1,731,930","0","0","0","3,363","0","4,769","0","2,230"
"Redwood NP","REDW","National Park","Pacific West ","CA",2017,12,"27,009","0","81,672","0","0","0","97","0","75","0","0","Redwood NP","REDW","National Park","Pacific West ","CA",2017,"445,000","0","1,731,930","0","0","0","3,363","0","4,769","0","2,230"
"Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,1,"120,025","4,899","1,315,523","4,899","20,774","0","2,673","1,512","524","0","67","Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,"4,336,890","163,654","71,264,549","4,281,972","826,725","0","456,476","293,844","167,507","0","26,166"
"Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,2,"119,421","4,705","1,472,439","4,705","24,109","0","2,958","3,292","708","0","195","Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,"4,336,890","163,654","71,264,549","4,281,972","826,725","0","456,476","293,844","167,507","0","26,166"
"Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,3,"166,793","6,726","2,395,161","6,726","36,004","0","8,550","9,464","1,618","0","121","Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,"4,336,890","163,654","71,264,549","4,281,972","826,725","0","456,476","293,844","167,507","0","26,166"
"Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,4,"302,553","12,601","5,861,809","12,601","97,516","0","28,454","26,220","1,873","0","1,260","Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,"4,336,890","163,654","71,264,549","4,281,972","826,725","0","456,476","293,844","167,507","0","26,166"
"Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,5,"471,844","18,901","8,263,942","18,901","128,229","0","40,621","31,744","7,590","0","2,699","Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,"4,336,890","163,654","71,264,549","4,281,972","826,725","0","456,476","293,844","167,507","0","26,166"
"Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,6,"565,702","22,494","8,440,801","22,494","100,905","0","43,997","30,396","21,470","0","3,671","Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,"4,336,890","163,654","71,264,549","4,281,972","826,725","0","456,476","293,844","167,507","0","26,166"
"Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,7,"633,351","23,429","9,983,607","23,429","89,475","0","64,138","39,624","46,706","0","3,516","Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,"4,336,890","163,654","71,264,549","4,281,972","826,725","0","456,476","293,844","167,507","0","26,166"
"Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,8,"615,892","20,863","11,336,996","20,863","95,182","0","97,353","45,604","47,543","0","9,230","Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,"4,336,890","163,654","71,264,549","4,281,972","826,725","0","456,476","293,844","167,507","0","26,166"
"Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,9,"566,279","19,780","10,370,002","19,780","97,783","0","92,634","44,640","30,670","0","3,509","Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,"4,336,890","163,654","71,264,549","4,281,972","826,725","0","456,476","293,844","167,507","0","26,166"
"Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,10,"429,827","15,367","6,778,461","15,367","59,912","0","54,394","42,300","7,464","0","1,263","Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,"4,336,890","163,654","71,264,549","4,281,972","826,725","0","456,476","293,844","167,507","0","26,166"
"Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,11,"217,927","8,885","3,007,188","8,885","40,500","0","13,921","12,764","874","0","425","Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,"4,336,890","163,654","71,264,549","4,281,972","826,725","0","456,476","293,844","167,507","0","26,166"
"Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,12,"127,276","5,004","2,038,620","5,004","36,336","0","6,783","6,284","467","0","210","Yosemite NP","YOSE","National Park","Pacific West ","CA",2017,"4,336,890","163,654","71,264,549","4,281,972","826,725","0","456,476","293,844","167,507","0","26,166"
